"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2005","2005",15928115,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2006","2006",15705620,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2007","2007",14132077,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2008","2008",14271000,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2009","2009",14490280,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2010","2010",15003365,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2011","2011",14204554,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2012","2012",14192082,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2013","2013",14059401,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2014","2014",14236620,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2015","2015",14595740,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","40540","Sub-Saharan Africa","2016","2016",14810161,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2000","2000",22429425,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2001","2001",21853971,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2002","2002",21488677,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2003","2003",20629576,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2004","2004",20047873,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2005","2005",19272550,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2006","2006",18749118,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2007","2007",18122165,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2008","2008",17879128,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2009","2009",17901841,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2010","2010",18410100,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2011","2011",17745959,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2012","2012",17665268,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2013","2013",17691943,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2014","2014",17852099,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2015","2015",18309650,"‡","UIS Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","40540","Sub-Saharan Africa","2016","2016",18608226,"‡","UIS Estimation"
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","CAF","Central African Republic","2009","2009",485952,,
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","CAF","Central African Republic","2011","2011",475765,"‡","UIS Estimation"
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","CAF","Central African Republic","2012","2012",481382,,
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","CAF","Central African Republic","2009","2009",216885,,
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","CAF","Central African Republic","2011","2011",205554,"‡","UIS Estimation"
"OFST_2T3_M_CP","Out-of-school adolescents and youth of secondary school age, male (number)","CAF","Central African Republic","2012","2012",206961,,
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","CAF","Central African Republic","2009","2009",269067,,
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","CAF","Central African Republic","2011","2011",270211,"‡","UIS Estimation"
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","CAF","Central African Republic","2012","2012",274421,,
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2000","2000",49996728,,
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2001","2001",50630827,,
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2002","2002",50411707,,
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2003","2003",50842748,,
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2004","2004",50949588,,
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2005","2005",51227200,,
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2006","2006",51568738,,
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2007","2007",52553657,,
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2008","2008",51989568,,
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2009","2009",52186880,"‡","UIS Estimation"
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2010","2010",51933315,"‡","UIS Estimation"
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2011","2011",53127984,"‡","UIS Estimation"
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2012","2012",54555874,"‡","UIS Estimation"
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2013","2013",55981621,"‡","UIS Estimation"
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2014","2014",57875789,,
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2015","2015",59433959,,
"OFST_2T3_CP","Out-of-school adolescents and youth of secondary school age, both sexes (number)","40540","Sub-Saharan Africa","2016","2016",61447475,,
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2000","2000",27282737,,
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2001","2001",27667225,,
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2002","2002",27624780,,
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2003","2003",27835719,"‡","UIS Estimation"
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2004","2004",27818155,"‡","UIS Estimation"
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2005","2005",27902960,"‡","UIS Estimation"
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2006","2006",28005959,"‡","UIS Estimation"
"OFST_2T3_F_CP","Out-of-school adolescents and youth of secondary school age, female (number)","40540","Sub-Saharan Africa","2007","2007",28357572,"‡","UIS Estimation"
