Indicator,Country,Year,Value
"Out-of-school children of primary school age, both sexes (number)",Africa (Sub-Saharan) ,2009,32608726
"Out-of-school children of primary school age, both sexes (number)",Africa (Sub-Saharan) ,2010,33628015
"Out-of-school children of primary school age, both sexes (number)",Africa (Sub-Saharan) ,2011,32161840
"Out-of-school children of primary school age, both sexes (number)",Africa (Sub-Saharan) ,2012,32078046
"Out-of-school children of primary school age, both sexes (number)",Africa (Sub-Saharan) ,2013,31961363
"Out-of-school children of primary school age, both sexes (number)",Africa (Sub-Saharan) ,2014,32282076
"Out-of-school children of primary school age, both sexes (number)",Africa (Sub-Saharan) ,2015,33091555
"Out-of-school children of primary school age, both sexes (number)",Africa (Sub-Saharan) ,2016,33648956
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2000,4878563
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2001,4515851
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2002,4181742
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2003,3945226
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2004,3711461
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2005,3734483
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2006,3649284
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2007,3122551
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2008,2791008
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2009,2749660
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2010,2628578
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2011,3131217
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2012,3193968
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2013,3142096
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2014,3254194
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2015,3181524
"Out-of-school children of primary school age, both sexes (number)",Africa (Northern),2016,2940229
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2000,22562688
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2001,21980901
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2002,21615994
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2003,20750245
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2004,20152172
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2005,19379863
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2006,18850889
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2007,18220444
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2008,17979314
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2009,18006759
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2010,18513756
"Out-of-school children of primary school age, female (number)",Africa (Sub-Saharan) ,2011,17846787
